"DATE","REGION","AGEGROUP","Female","Male","All"
2020-08-25,"Flanders","50-59",8.42857142857143,14.4285714285714,22.8571428571429
2020-08-25,"Flanders","60-69",5.28571428571429,5.28571428571429,10.5714285714286
2020-08-25,"Flanders","70-79",2.57142857142857,3,5.57142857142857
2020-08-25,"Flanders","80-89",2.71428571428571,1.71428571428571,4.42857142857143
2020-08-25,"Flanders","90+",2.42857142857143,0,2.42857142857143
2020-08-25,"Wallonia","0-9",1.85714285714286,2.71428571428571,4.57142857142857
2020-08-25,"Wallonia","10-19",6.85714285714286,5.85714285714286,12.7142857142857
2020-08-25,"Wallonia","20-29",11.4285714285714,12.8571428571429,24.2857142857143
2020-08-25,"Wallonia","30-39",9.85714285714286,8,17.8571428571429
2020-08-25,"Wallonia","40-49",6.28571428571429,7.71428571428571,14
2020-08-25,"Wallonia","50-59",4.85714285714286,6.42857142857143,11.2857142857143
2020-08-25,"Wallonia","60-69",4,3.42857142857143,7.42857142857143
2020-08-25,"Wallonia","70-79",2,0.857142857142857,2.85714285714286
2020-08-25,"Wallonia","80-89",2,0.285714285714286,2.28571428571429
2020-08-25,"Wallonia","90+",1.42857142857143,0.285714285714286,1.71428571428571
2020-08-26,"Brussels","0-9",4.42857142857143,3.71428571428571,8.14285714285714
2020-08-26,"Brussels","10-19",7.71428571428571,9,16.7142857142857
2020-08-26,"Brussels","20-29",11.8571428571429,15,26.8571428571429
2020-08-26,"Brussels","30-39",12.7142857142857,12.4285714285714,25.1428571428571
2020-08-26,"Brussels","40-49",8.85714285714286,7.85714285714286,16.7142857142857
2020-08-26,"Brussels","50-59",5.28571428571429,7,12.2857142857143
2020-08-26,"Brussels","60-69",3.71428571428571,2.57142857142857,6.28571428571429
2020-08-26,"Brussels","70-79",2.28571428571429,1.71428571428571,4
2020-08-26,"Brussels","80-89",1.42857142857143,0.714285714285714,2.14285714285714
2020-08-26,"Flanders","0-9",7.28571428571429,6.57142857142857,13.8571428571429
2020-08-26,"Flanders","10-19",15.5714285714286,15.5714285714286,31.1428571428571
2020-08-26,"Flanders","20-29",21.1428571428571,21.1428571428571,42.2857142857143
2020-08-26,"Flanders","30-39",23.5714285714286,22.5714285714286,46.1428571428571
2020-08-26,"Flanders","40-49",15.5714285714286,19.2857142857143,34.8571428571429
2020-08-26,"Flanders","50-59",8.28571428571429,13.2857142857143,21.5714285714286
2020-08-26,"Flanders","60-69",5,4.85714285714286,9.85714285714286
2020-08-26,"Flanders","70-79",2.57142857142857,3,5.57142857142857
2020-08-26,"Flanders","80-89",3.14285714285714,1.57142857142857,4.71428571428571
2020-08-26,"Flanders","90+",2.28571428571429,0,2.28571428571429
2020-08-26,"Wallonia","0-9",2.42857142857143,3.42857142857143,5.85714285714286
2020-08-26,"Wallonia","10-19",6.28571428571429,6,12.2857142857143
2020-08-26,"Wallonia","20-29",11.7142857142857,12,23.7142857142857
2020-08-26,"Wallonia","30-39",9,9.57142857142857,18.5714285714286
2020-08-26,"Wallonia","40-49",7.71428571428571,6.57142857142857,14.2857142857143
2020-08-26,"Wallonia","50-59",5.28571428571429,5.28571428571429,10.5714285714286
2020-08-26,"Wallonia","60-69",4.42857142857143,2.71428571428571,7.14285714285714
2020-08-26,"Wallonia","70-79",1.42857142857143,1,2.42857142857143
2020-08-26,"Wallonia","80-89",2.14285714285714,0.571428571428571,2.71428571428571
2020-08-26,"Wallonia","90+",1.42857142857143,0.285714285714286,1.71428571428571
2020-08-27,"Brussels","0-9",3.28571428571429,3,6.28571428571429
2020-08-27,"Brussels","10-19",6.85714285714286,8.71428571428571,15.5714285714286
2020-08-27,"Brussels","20-29",13.2857142857143,15.2857142857143,28.5714285714286
2020-08-27,"Brussels","30-39",12.4285714285714,11.8571428571429,24.2857142857143
2020-08-27,"Brussels","40-49",9.71428571428571,7.57142857142857,17.2857142857143
2020-08-27,"Brussels","50-59",6,7.28571428571429,13.2857142857143
2020-08-27,"Brussels","60-69",3.28571428571429,2.42857142857143,5.71428571428571
2020-08-27,"Brussels","70-79",2.28571428571429,1.42857142857143,3.71428571428571
2020-08-27,"Brussels","80-89",1.71428571428571,0.571428571428571,2.28571428571429
2020-08-27,"Brussels","90+",2.14285714285714,0.428571428571429,2.57142857142857
2020-08-27,"Flanders","0-9",7.57142857142857,7.14285714285714,14.7142857142857
2020-08-27,"Flanders","10-19",14.5714285714286,16,30.5714285714286
2020-08-27,"Flanders","20-29",20.7142857142857,21,41.7142857142857
2020-08-27,"Flanders","30-39",22.2857142857143,19.8571428571429,42.1428571428571
2020-08-27,"Flanders","40-49",14,17.8571428571429,31.8571428571429
2020-08-27,"Flanders","50-59",8.71428571428571,13.1428571428571,21.8571428571429
2020-08-27,"Flanders","60-69",4.42857142857143,5.57142857142857,10
2020-08-27,"Flanders","70-79",2.14285714285714,2.28571428571429,4.42857142857143
2020-08-27,"Flanders","80-89",2.14285714285714,1.14285714285714,3.28571428571429
2020-08-27,"Wallonia","0-9",2.57142857142857,3.57142857142857,6.14285714285714
2020-08-27,"Wallonia","10-19",6.85714285714286,6.85714285714286,13.7142857142857
2020-08-27,"Wallonia","20-29",13.1428571428571,11,24.1428571428571
2020-08-27,"Wallonia","30-39",8.42857142857143,10.2857142857143,18.7142857142857
2020-08-27,"Wallonia","40-49",8.14285714285714,7.14285714285714,15.2857142857143
2020-08-27,"Wallonia","50-59",6,4.14285714285714,10.1428571428571
2020-08-27,"Wallonia","60-69",4,3.42857142857143,7.42857142857143
2020-08-27,"Wallonia","70-79",1.57142857142857,1.42857142857143,3
2020-08-27,"Wallonia","80-89",1.28571428571429,0.714285714285714,2
2020-08-27,"Wallonia","90+",1.57142857142857,0.142857142857143,1.71428571428571
2020-08-28,"Brussels","0-9",3.14285714285714,4,7.14285714285714
2020-08-28,"Brussels","10-19",6.14285714285714,8.85714285714286,15
2020-08-28,"Brussels","20-29",13.5714285714286,16.8571428571429,30.4285714285714
2020-08-28,"Brussels","30-39",12.4285714285714,12.7142857142857,25.1428571428571
2020-08-28,"Brussels","40-49",9.57142857142857,8.14285714285714,17.7142857142857
2020-08-28,"Brussels","50-59",5.71428571428571,7.28571428571429,13
2020-08-28,"Brussels","60-69",3,2.71428571428571,5.71428571428571
2020-08-28,"Brussels","70-79",2.42857142857143,1.14285714285714,3.57142857142857
2020-08-28,"Brussels","80-89",1.57142857142857,0.428571428571429,2
2020-08-28,"Flanders","0-9",8.28571428571429,7.71428571428571,16
2020-08-28,"Flanders","10-19",14.4285714285714,15.5714285714286,30
2020-08-28,"Flanders","20-29",21.4285714285714,21.7142857142857,43.1428571428571
2020-08-28,"Flanders","30-39",20.4285714285714,20,40.4285714285714
2020-08-28,"Flanders","40-49",14.5714285714286,17.8571428571429,32.4285714285714
2020-08-28,"Flanders","50-59",8.57142857142857,14,22.5714285714286
2020-08-28,"Flanders","60-69",4.71428571428571,4.85714285714286,9.57142857142857
2020-08-28,"Flanders","70-79",1.57142857142857,2.14285714285714,3.71428571428571
2020-08-28,"Flanders","80-89",2.14285714285714,1,3.14285714285714
2020-08-28,"Flanders","90+",2,0.142857142857143,2.14285714285714
2020-08-28,"Wallonia","0-9",3.42857142857143,3.28571428571429,6.71428571428571
2020-08-28,"Wallonia","10-19",7.28571428571429,8.71428571428571,16
2020-08-28,"Wallonia","20-29",12.8571428571429,11,23.8571428571429
2020-08-28,"Wallonia","30-39",9.85714285714286,10,19.8571428571429
2020-08-28,"Wallonia","40-49",9.42857142857143,7.71428571428571,17.1428571428571
2020-08-28,"Wallonia","50-59",7.28571428571429,4.71428571428571,12
2020-08-28,"Wallonia","60-69",5,4.85714285714286,9.85714285714286
2020-08-28,"Wallonia","70-79",2.14285714285714,1.71428571428571,3.85714285714286
2020-08-28,"Wallonia","80-89",1.57142857142857,0.571428571428571,2.14285714285714
2020-08-28,"Wallonia","90+",1.28571428571429,0,1.28571428571429
2020-08-29,"Brussels","0-9",2.85714285714286,3.14285714285714,6
2020-08-29,"Brussels","10-19",6.57142857142857,9,15.5714285714286
2020-08-29,"Brussels","20-29",13.4285714285714,16.5714285714286,30
2020-08-29,"Brussels","30-39",12,12.4285714285714,24.4285714285714
2020-08-29,"Brussels","40-49",9.28571428571429,8,17.2857142857143
2020-08-29,"Brussels","50-59",5.42857142857143,7.57142857142857,13
2020-08-29,"Brussels","60-69",2.42857142857143,2.42857142857143,4.85714285714286
2020-08-29,"Brussels","70-79",2.14285714285714,1.28571428571429,3.42857142857143
2020-08-29,"Brussels","80-89",1.14285714285714,0.571428571428571,1.71428571428571
2020-08-29,"Flanders","0-9",6.71428571428571,8,14.7142857142857
2020-08-29,"Flanders","10-19",14.8571428571429,16,30.8571428571429
